1 	1.10204e+06 	958.51 	0.991534 	0 	-16.2348 	-0.00351017
0.974747 	6.86725e+06 	1038.85 	0.905819 	0 	-15.4456 	0.140162
0.949495 	4.32047e+06 	1108.22 	0.848661 	0 	-14.5529 	0.2851
0.924242 	3.1444e+06 	1163.69 	0.801493 	0 	-13.8609 	0.458782
0.89899 	2.78427e+06 	1220.72 	0.751952 	0 	-13.1409 	0.631492
0.873737 	2.78393e+06 	1283.39 	0.697604 	0 	-12.3701 	0.794416
0.848485 	2.99648e+06 	1353.93 	0.637043 	0 	-11.5275 	0.940632
0.823232 	3.42568e+06 	1433.22 	0.569544 	0 	-10.6003 	1.06382
0.79798 	4.37669e+06 	1518.82 	0.495245 	0 	-9.57684 	1.15859
0.772727 	6.15245e+06 	1605.79 	0.415521 	0 	-8.45791 	1.22166
0.747475 	8.26967e+06 	1694.21 	0.332145 	0 	-7.26743 	1.24642
0.722222 	1.04795e+07 	1781.24 	0.247486 	0 	-6.02936 	1.22717
0.69697 	1.09458e+07 	1821.69 	0.169257 	9.91113e-33 	-4.74074 	1.15347
0.671717 	1.09711e+07 	1792.91 	0.104362 	0 	-3.45927 	1.0091
0.646465 	9.79442e+06 	1712.07 	0.0538439 	0 	-2.22647 	0.797742
0.621212 	5.87257e+06 	1519.29 	0.0248494 	0 	-1.04172 	0.471258
0.59596 	2.77983e+06 	1236.49 	0.00969249 	0 	-0.00181317 	0.051812
0.570707 	914486 	894.021 	0.00347241 	0 	0.644123 	-0.279356
0.545455 	250824 	626.664 	0.0013124 	0 	0.779026 	-0.356514
0.520202 	51622.4 	484.862 	0.000440075 	0 	0.729579 	-0.285477
0.494949 	12238.7 	429.306 	0.000141082 	0 	0.706845 	-0.164242
0.469697 	3326.7 	405.927 	4.53614e-05 	0 	0.732901 	-0.0459851
0.444444 	966.266 	393.547 	1.46344e-05 	0 	0.783559 	0.0487599
0.419192 	294.249 	385.21 	4.73434e-06 	5.34976e-35 	0.84049 	0.118518
0.393939 	91.1501 	378.72 	1.51302e-06 	0 	0.89526 	0.168322
0.368687 	28.1556 	373.268 	4.74959e-07 	0 	0.944679 	0.20376
0.343434 	8.68493 	368.52 	1.48114e-07 	0 	0.987992 	0.229223
0.318182 	2.72343 	364.319 	4.69489e-08 	0 	1.02543 	0.247778
0.292929 	0.905796 	360.569 	1.58088e-08 	0 	1.05753 	0.261474
0.267677 	0.345492 	357.206 	6.11452e-09 	0 	1.08486 	0.271687
0.242424 	0.166438 	354.178 	2.9908e-09 	0 	1.1079 	0.279354
0.217172 	0.10426 	351.419 	1.90503e-09 	0 	1.127 	0.285074
0.191919 	0.078835 	348.883 	1.46688e-09 	0 	1.14248 	0.289338
0.166667 	0.0655697 	346.594 	1.24308e-09 	0 	1.15477 	0.292532
0.141414 	0.0566207 	344.495 	1.09373e-09 	0 	1.16395 	0.294877
0.116162 	0.0494892 	342.555 	9.73717e-10 	0 	1.1701 	0.296585
0.0909091 	0.0435512 	340.802 	8.71824e-10 	0 	1.17347 	0.297743
0.0656566 	0.0384389 	339.212 	7.81768e-10 	0 	1.17411 	0.298452
0.040404 	0.0339584 	337.759 	7.00461e-10 	0 	1.17207 	0.298794
0.0151515 	0.0300049 	336.423 	6.26445e-10 	0 	1.16741 	0.298842
