y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9056710.0,1214.34,0.123115,0.0,0.0260516,0.414655,941.3399999999999
0.974747,350515.0,370.012,0.00145575,0.0,0.217432,0.588518,97.012
0.949495,5266.74,313.387,4.01069e-05,0.0,0.417481,0.505933,40.387
0.924242,308.321,310.611,3.2725e-06,0.0,0.575581,0.452605,37.61099999999999
0.89899,27.4139,310.387,3.66855e-07,0.0,0.703309,0.415655,37.387
0.873737,2.92986,310.412,4.62485e-08,0.0,0.812089,0.39166,37.41199999999998
0.848485,0.349685,310.462,6.17751e-09,0.0,0.908457,0.376475,37.46199999999999
0.823232,0.0446151,310.512,8.51518e-10,0.0,0.996089,0.366744,37.512
0.79798,0.00591718,310.558,1.19289e-10,0.0,1.07711,0.360182,37.55799999999999
0.772727,0.000783236,310.601,1.6431e-11,0.0,1.15278,0.355362,37.601
0.747475,0.000102793,310.642,2.21956e-12,0.0,1.22388,0.351448,37.641999999999996
0.722222,1.32227e-05,310.68,2.91329e-13,0.0,1.29089,0.34797,37.68000000000001
0.69697,1.66442e-06,310.716,3.71463e-14,5.00003e-34,1.35414,0.344673,37.71600000000001
0.671717,2.04342e-07,310.751,4.59059e-15,0.0,1.41383,0.341424,37.750999999999976
0.646465,3.02243e-08,310.784,6.79689e-16,0.0,1.4701,0.338159,37.78399999999999
0.621212,1.14104e-08,310.816,2.55477e-16,0.0,1.52303,0.334853,37.815999999999974
0.59596,1.03402e-08,310.846,2.29635e-16,0.0,1.5727,0.3315,37.846000000000004
0.570707,1.1292e-08,310.876,2.48112e-16,0.0,1.61913,0.328107,37.875999999999976
0.545455,1.25681e-08,310.904,2.72729e-16,0.0,1.66236,0.324683,37.903999999999996
0.520202,1.39431e-08,310.931,2.985e-16,0.0,1.7024,0.321244,37.93099999999998
0.494949,1.54136e-08,310.958,3.25404e-16,0.0,1.73925,0.317804,37.95800000000003
0.469697,1.69769e-08,310.983,3.53459e-16,0.0,1.77294,0.314378,37.983000000000004
0.444444,1.86469e-08,311.008,3.83001e-16,0.0,1.80347,0.310977,38.00799999999998
0.419192,2.04334e-08,311.032,4.14262e-16,8.49579e-36,1.83084,0.307614,38.03199999999998
0.393939,2.22727e-08,311.056,4.45952e-16,0.0,1.85507,0.3043,38.05599999999998
0.368687,2.41938e-08,311.079,4.78654e-16,0.0,1.87616,0.301043,38.07900000000001
0.343434,2.62068e-08,311.101,5.12523e-16,0.0,1.89413,0.297854,38.101
0.318182,2.83111e-08,311.123,5.47477e-16,0.0,1.90898,0.294738,38.12299999999999
0.292929,3.05089e-08,311.144,5.83474e-16,0.0,1.92073,0.291701,38.144000000000005
