y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9162830.0,1198.5,0.121168,0.0,0.0267622,0.425709,925.5
0.974747,352393.0,351.221,0.00141101,0.0,0.21172,0.596004,78.221
0.949495,5491.09,296.134,4.01021e-05,0.0,0.408128,0.514504,23.134000000000015
0.924242,335.379,293.324,3.401e-06,0.0,0.563767,0.463061,20.324000000000012
0.89899,31.3454,293.02,3.99436e-07,0.0,0.689843,0.427588,20.019999999999982
0.873737,3.56849,292.979,5.35516e-08,0.0,0.797412,0.404659,19.978999999999985
0.848485,0.460494,292.973,7.73003e-09,0.0,0.892817,0.390213,19.973000000000013
0.823232,0.0641583,292.972,1.1634e-09,0.0,0.979647,0.380975,19.97199999999998
0.79798,0.00927592,292.972,1.77654e-10,0.0,1.05999,0.374723,19.97199999999998
0.772727,0.00132021,292.972,2.6311e-11,0.0,1.13507,0.370076,19.97199999999998
0.747475,0.000182621,292.972,3.74634e-12,0.0,1.20567,0.36623,19.97199999999998
0.722222,2.42482e-05,292.972,5.0765e-13,0.0,1.27226,0.362736,19.97199999999998
0.69697,3.08161e-06,292.972,6.53661e-14,4.85866e-34,1.33515,0.359353,19.97199999999998
0.671717,3.67142e-07,292.972,7.84121e-15,0.0,1.39454,0.355963,19.97199999999998
0.646465,4.10197e-08,292.971,8.7735e-16,0.0,1.45055,0.352509,19.971000000000004
0.621212,4.38756e-09,292.971,9.35459e-17,0.0,1.50327,0.348975,19.971000000000004
0.59596,4.98705e-10,292.971,1.05563e-17,0.0,1.55276,0.345361,19.971000000000004
0.570707,1.15446e-10,292.971,2.41588e-18,0.0,1.59904,0.34168,19.971000000000004
0.545455,8.96385e-11,292.971,1.8509600000000003e-18,0.0,1.64214,0.337947,19.971000000000004
0.520202,1.00132e-10,292.971,2.0395e-18,0.0,1.68207,0.334181,19.971000000000004
0.494949,1.15722e-10,292.971,2.32409e-18,0.0,1.71885,0.330401,19.971000000000004
0.469697,1.33494e-10,292.971,2.6436300000000003e-18,0.0,1.75246,0.326624,19.971000000000004
0.444444,1.53602e-10,292.971,3.0003700000000002e-18,0.0,1.78293,0.322867,19.971000000000004
0.419192,1.76432e-10,292.971,3.4010800000000005e-18,7.54482e-36,1.81026,0.319144,19.971000000000004
0.393939,2.00874e-10,292.971,3.82349e-18,0.0,1.83446,0.315469,19.971000000000004
0.368687,2.2759e-10,292.971,4.27962e-18,0.0,1.85552,0.311853,19.971000000000004
0.343434,2.56934e-10,292.97,4.7749400000000004e-18,0.0,1.87348,0.308307,19.970000000000027
0.318182,2.89024e-10,292.97,5.31012e-18,0.0,1.88832,0.304839,19.970000000000027
0.292929,3.24059e-10,292.97,5.887e-18,0.0,1.90009,0.301457,19.970000000000027
0.267677,3.62301e-10,292.97,6.5083e-18,0.0,1.90878,0.298166,19.970000000000027
0.242424,4.04044e-10,292.97,7.17691e-18,0.0,1.91443,0.294968,19.970000000000027
0.217172,4.50743e-10,292.97,7.915670000000001e-18,0.0,1.91705,0.291868,19.970000000000027
0.191919,5.02895e-10,292.97,8.729550000000001e-18,0.0,1.91668,0.288865,19.970000000000027
0.166667,5.59222e-10,292.97,9.592170000000001e-18,0.0,1.91335,0.285957,19.970000000000027
0.141414,6.23557e-10,292.97,1.05644e-17,0.0,1.9071,0.283141,19.970000000000027
0.116162,6.94908e-10,292.97,1.16233e-17,0.0,1.89799,0.280411,19.970000000000027
