y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,8861380.0,1226.12,0.126288,0.0,0.0256535,0.40783,953.1199999999999
0.974747,351752.0,390.397,0.00152809,0.0,0.210731,0.593346,117.39699999999999
0.949495,4969.31,331.638,4.06139e-05,0.0,0.40543,0.514712,58.63799999999998
0.924242,277.716,328.632,3.15535e-06,0.0,0.560162,0.463757,55.632000000000005
0.89899,23.7542,328.386,3.38843e-07,0.0,0.685816,0.428493,55.386000000000024
0.873737,2.43345,328.424,4.08677e-08,0.0,0.793175,0.40565,55.42399999999998
0.848485,0.275416,328.492,5.17496e-09,0.0,0.888472,0.391239,55.49200000000002
0.823232,0.0327551,328.558,6.65086e-10,0.0,0.975246,0.382014,55.55799999999999
0.79798,0.00397625,328.62,8.53118e-11,0.0,1.05556,0.375767,55.620000000000005
0.772727,0.000476853,328.677,1.06509e-11,0.0,1.13065,0.371123,55.67700000000002
0.747475,5.66661e-05,328.731,1.30338e-12,0.0,1.20127,0.36728,55.730999999999995
0.722222,6.82324e-06,328.782,1.60238e-13,0.0,1.26789,0.363789,55.78199999999998
0.69697,9.60949e-07,328.83,2.28775e-14,4.84842e-34,1.33082,0.360411,55.829999999999984
0.671717,2.49723e-07,328.876,5.98833e-15,0.0,1.39026,0.357024,55.875999999999976
0.646465,1.47919e-07,328.919,3.55095e-15,0.0,1.44633,0.353574,55.91899999999998
0.621212,1.20231e-07,328.961,2.87563e-15,0.0,1.49913,0.350043,55.96100000000001
0.59596,1.0424e-07,329.0,2.47478e-15,0.0,1.54869,0.346431,56.0
0.570707,9.18601e-08,329.038,2.15868e-15,0.0,1.59506,0.342752,56.03800000000001
0.545455,8.11082e-08,329.075,1.88286e-15,0.0,1.63825,0.33902,56.07499999999999
0.520202,7.27845e-08,329.11,1.66706e-15,0.0,1.67828,0.335254,56.110000000000014
0.494949,6.6e-08,329.144,1.49068e-15,0.0,1.71515,0.331473,56.144000000000005
0.469697,6.02807e-08,329.177,1.34254e-15,0.0,1.74886,0.327697,56.17700000000002
