y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9184220.0,1196.25,0.120251,0.0,0.0270406,0.432268,923.25
0.974747,348932.0,349.835,0.00136701,0.0,0.219635,0.602278,76.83499999999998
0.949495,5011.79,295.833,3.55689e-05,0.0,0.423265,0.51764,22.833000000000027
0.924242,274.003,293.214,2.71653e-06,0.0,0.583584,0.463589,20.214
0.89899,22.5806,292.948,2.82676e-07,0.0,0.712815,0.426277,19.94799999999998
0.873737,2.20168,292.915,3.25451e-08,0.0,0.822743,0.402107,19.91500000000002
0.848485,0.234734,292.911,3.8861e-09,0.0,0.920048,0.386819,19.911
0.823232,0.0260621,292.91,4.66422e-10,0.0,1.00846,0.377002,19.910000000000025
0.79798,0.00294027,292.91,5.56127e-11,0.0,1.09015,0.370344,19.910000000000025
0.772727,0.000330294,292.909,6.50379e-12,0.0,1.16637,0.365406,19.908999999999992
0.747475,3.69579e-05,292.909,7.49301e-13,0.0,1.23793,0.36135,19.908999999999992
0.722222,4.12052e-06,292.909,8.52623e-14,0.0,1.30531,0.357705,19.908999999999992
0.69697,4.63168e-07,292.909,9.7092e-15,4.97823e-34,1.36883,0.354215,19.908999999999992
0.671717,5.6199e-08,292.909,1.18588e-15,0.0,1.42872,0.350751,19.908999999999992
0.646465,1.21958e-08,292.908,2.57534e-16,0.0,1.48511,0.347251,19.908000000000015
0.621212,7.87702e-09,292.908,1.65577e-16,0.0,1.53809,0.343691,19.908000000000015
0.59596,7.78241e-09,292.908,1.62263e-16,0.0,1.58773,0.340067,19.908000000000015
0.570707,8.14893e-09,292.908,1.68087e-16,0.0,1.63407,0.336389,19.908000000000015
0.545455,8.5822e-09,292.908,1.74816e-16,0.0,1.67715,0.332669,19.908000000000015
0.520202,9.05005e-09,292.908,1.81859e-16,0.0,1.71697,0.328922,19.908000000000015
0.494949,9.54155e-09,292.908,1.89078e-16,0.0,1.75356,0.325164,19.908000000000015
0.469697,1.00518e-08,292.907,1.96447e-16,0.0,1.78693,0.321413,19.906999999999982
0.444444,1.05757e-08,292.907,2.0392e-16,0.0,1.8171,0.31768,19.906999999999982
0.419192,1.11091e-08,292.907,2.11451e-16,7.755799999999999e-36,1.84407,0.313978,19.906999999999982
0.393939,1.16598e-08,292.907,2.19201e-16,0.0,1.86786,0.310321,19.906999999999982
0.368687,1.22223e-08,292.907,2.27061e-16,0.0,1.88848,0.306717,19.906999999999982
0.343434,1.27949e-08,292.907,2.34983e-16,0.0,1.90595,0.303177,19.906999999999982
0.318182,1.33776e-08,292.907,2.42947e-16,0.0,1.92029,0.299708,19.906999999999982
0.292929,1.39708e-08,292.907,2.50932e-16,0.0,1.9315,0.296315,19.906999999999982
0.267677,1.45762e-08,292.907,2.58941e-16,0.0,1.93962,0.293003,19.906999999999982
0.242424,1.51962e-08,292.907,2.66986e-16,0.0,1.94467,0.289775,19.906999999999982
0.217172,1.58287e-08,292.907,2.75003e-16,0.0,1.94667,0.286633,19.906999999999982
0.191919,1.64787e-08,292.907,2.83044e-16,0.0,1.94566,0.283578,19.906999999999982
0.166667,1.71613e-08,292.907,2.91329e-16,0.0,1.94166,0.280607,19.906999999999982
