y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,8814010.0,1227.61,0.126288,0.0,0.0255003,0.40562,954.6099999999999
0.974747,349421.0,392.971,0.00152809,0.0,0.209626,0.591941,119.971
0.949495,4917.16,333.959,4.06139e-05,0.0,0.40327,0.513898,60.959
0.924242,274.904,330.927,3.15535e-06,0.0,0.557286,0.463268,57.92700000000002
0.89899,23.527,330.685,3.38843e-07,0.0,0.682449,0.428219,57.685
0.873737,2.41091,330.731,4.08677e-08,0.0,0.789438,0.405515,57.730999999999995
0.848485,0.272892,330.807,5.17496e-09,0.0,0.884434,0.391193,57.807000000000016
0.823232,0.0324557,330.883,6.65086e-10,0.0,0.970952,0.382027,57.88299999999998
0.79798,0.00393993,330.953,8.53118e-11,0.0,1.05105,0.375821,57.952999999999975
0.772727,0.000472495,331.018,1.06509e-11,0.0,1.12594,0.371206,58.01799999999997
0.747475,5.61472e-05,331.08,1.30338e-12,0.0,1.19639,0.367385,58.079999999999984
0.722222,6.76051e-06,331.138,1.60238e-13,0.0,1.26286,0.363912,58.13799999999998
0.69697,9.52064e-07,331.194,2.28775e-14,4.8331600000000005e-34,1.32567,0.360547,58.19400000000002
0.671717,2.47397e-07,331.247,5.98833e-15,0.0,1.385,0.357172,58.247000000000014
0.646465,1.4653e-07,331.297,3.55095e-15,0.0,1.44098,0.35373,58.297000000000025
0.621212,1.19094e-07,331.346,2.87563e-15,0.0,1.4937,0.350206,58.346000000000004
0.59596,1.03248e-07,331.392,2.47478e-15,0.0,1.54321,0.3466,58.391999999999996
0.570707,9.09816e-08,331.437,2.15868e-15,0.0,1.58953,0.342925,58.43700000000001
0.545455,8.03298e-08,331.48,1.88286e-15,0.0,1.63269,0.339197,58.48000000000002
0.520202,7.20848e-08,331.522,1.66706e-15,0.0,1.67269,0.335434,58.52199999999999
0.494949,6.53653e-08,331.562,1.49068e-15,0.0,1.70955,0.331656,58.56200000000001
0.469697,5.97017e-08,331.601,1.34254e-15,0.0,1.74326,0.327882,58.601
0.444444,5.46969e-08,331.639,1.21323e-15,0.0,1.77384,0.324126,58.63900000000001
0.419192,5.00925e-08,331.676,1.09644e-15,7.5358e-36,1.80129,0.320404,58.67599999999999
0.393939,4.64938e-08,331.712,1.0048e-15,0.0,1.82561,0.31673,58.71199999999999
0.368687,4.34024e-08,331.747,9.26598e-16,0.0,1.84681,0.313117,58.747000000000014
0.343434,4.06589e-08,331.781,8.57849e-16,0.0,1.86491,0.309574,58.781000000000006
0.318182,3.82184e-08,331.814,7.97148e-16,0.0,1.8799,0.306112,58.81400000000002
0.292929,3.60442e-08,331.847,7.43349e-16,0.0,1.89181,0.302737,58.84699999999998
0.267677,3.40968e-08,331.879,6.95334e-16,0.0,1.90066,0.299454,58.87900000000002
0.242424,3.23532e-08,331.91,6.52391e-16,0.0,1.90646,0.296268,58.910000000000025
0.217172,3.06508e-08,331.941,6.11067e-16,0.0,1.90924,0.293181,58.940999999999974
0.191919,2.90153e-08,331.972,5.71783e-16,0.0,1.90902,0.290194,58.97199999999998
0.166667,2.76341e-08,332.002,5.3811e-16,0.0,1.90585,0.287306,59.00200000000001
0.141414,2.62254e-08,332.032,5.04434e-16,0.0,1.89976,0.284514,59.03199999999998
0.116162,2.49449e-08,332.061,4.73691e-16,0.0,1.8908,0.281811,59.06099999999998
0.0909091,2.39215e-08,332.091,4.48225e-16,0.0,1.87906,0.279186,59.09100000000001
0.0656566,2.30131e-08,332.121,4.25224e-16,0.0,1.86463,0.276624,59.12099999999998
0.040404,2.21907e-08,332.153,4.04092e-16,0.0,1.84762,0.274124,59.15300000000002
0.0151515,2.14578e-08,332.19,3.84848e-16,0.0,1.82728,0.271858,59.19
-0.010101,2.09317e-08,332.214,3.70206e-16,0.0,1.80275,0.269976,59.214
-0.0353535,2.05768e-08,332.243,3.58914e-16,0.0,1.77527,0.26823,59.242999999999995
-0.0606061,2.03182e-08,332.273,3.49496e-16,0.0,1.74625,0.266791,59.273000000000025
-0.0858586,2.00705e-08,332.3,3.40225e-16,0.0,1.71591,0.265132,59.30000000000001
-0.111111,1.98074e-08,332.32,3.30157e-16,0.0,1.67992,0.263103,59.31999999999999
-0.136364,1.9568e-08,332.349,3.20297e-16,0.0,1.63884,0.261136,59.34899999999999
-0.161616,1.93857e-08,332.378,3.11831e-16,0.0,1.59687,0.25936,59.377999999999986
-0.186869,1.92739e-08,332.405,3.05088e-16,0.0,1.55377,0.257818,59.40499999999997
-0.212121,1.91503e-08,332.431,2.98352e-16,0.0,1.50861,0.256235,59.43099999999998
-0.237374,1.90089e-08,332.454,2.91438e-16,0.0,1.45882,0.254486,59.45400000000001
-0.262626,1.88675e-08,332.477,2.84525e-16,0.0,1.40902,0.252737,59.476999999999975
-0.287879,1.87278e-08,332.5,2.77625e-16,0.0,1.35912,0.251011,59.5
-0.313131,1.85739e-08,332.519,2.70078e-16,0.0,1.3006,0.249298,59.519000000000005
-0.338384,1.83913e-08,332.541,2.62161e-16,0.0,1.23524,0.246976,59.541
-0.363636,1.82088e-08,332.562,2.54244e-16,0.0,1.16989,0.244654,59.56200000000001
-0.388889,1.80263e-08,332.583,2.46327e-16,0.0,1.10453,0.242332,59.58300000000003
-0.414141,1.788e-08,332.604,2.39156e-16,0.0,1.03272,0.239834,59.603999999999985
-0.439394,1.78318e-08,332.624,2.33834e-16,0.0,0.954706,0.236913,59.624000000000024
-0.464646,1.77836e-08,332.643,2.28512e-16,0.0,0.876693,0.233991,59.64299999999997
-0.489899,1.77354e-08,332.663,2.2319e-16,0.0,0.79868,0.23107,59.66300000000001
-0.515152,1.77735e-08,332.681,2.18996e-16,0.0,0.715045,0.228138,59.68099999999998
-0.540404,1.79315e-08,332.698,2.16513e-16,0.0,0.626348,0.224602,59.69799999999998
-0.565657,1.80896e-08,332.715,2.14029e-16,0.0,0.53765,0.221066,59.714999999999975
-0.590909,1.82476e-08,332.732,2.11546e-16,0.0,0.448953,0.217531,59.73200000000003
-0.616162,1.85855e-08,332.747,2.11751e-16,0.0,0.351441,0.213529,59.747000000000014
-0.641414,1.90852e-08,332.76,2.14371e-16,0.0,0.246704,0.208749,59.75999999999999
-0.666667,1.9585e-08,332.773,2.1699e-16,0.0,0.141967,0.203968,59.773000000000025
-0.691919,2.00847e-08,332.786,2.1961e-16,0.0,0.0372298,0.199188,59.786
-0.717172,2.07565e-08,332.792,2.2678e-16,0.0,-0.0685887,0.193803,59.79199999999997
-0.742424,2.15451e-08,332.794,2.37116e-16,0.0,-0.176187,0.187688,59.79399999999998
-0.767677,2.23336e-08,332.797,2.47452e-16,0.0,-0.283785,0.181573,59.797000000000025
-0.792929,2.31222e-08,332.799,2.57789e-16,0.0,-0.391383,0.175459,59.79899999999998
-0.818182,2.40673e-08,332.793,2.73381e-16,0.0,-0.488084,0.169914,59.793000000000006
-0.843434,2.5071e-08,332.784,2.91924e-16,0.0,-0.578957,0.164118,59.78399999999999
-0.868687,2.60747e-08,332.775,3.10466e-16,0.0,-0.669831,0.158322,59.77499999999998
-0.893939,2.70784e-08,332.765,3.29009e-16,0.0,-0.760704,0.152526,59.764999999999986
-0.919192,2.81684e-08,332.751,3.5221e-16,0.0,-0.838817,0.148118,59.750999999999976
-0.944444,2.92354e-08,332.736,3.77319e-16,0.0,-0.90991,0.144028,59.73599999999999
