y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,426837.0,968.755,0.983088,0.0,-4.40226,0.0345601,695.755
0.974747,2612340.0,1096.87,0.856981,0.0,-4.32877,0.217148,823.8699999999999
0.949495,2635240.0,1217.89,0.747449,0.0,-4.2128,0.359344,944.8900000000001
0.924242,2914970.0,1330.83,0.645779,0.0,-4.10664,0.476624,1057.83
0.89899,3384860.0,1443.23,0.544933,0.0,-3.958,0.567063,1170.23
0.873737,4141130.0,1548.35,0.448497,0.0,-3.76592,0.636981,1275.35
0.848485,5155810.0,1641.96,0.35828,0.0,-3.5428,0.696274,1368.96
0.823232,6245580.0,1722.47,0.277415,0.0,-3.30558,0.74627,1449.47
0.79798,7379510.0,1786.43,0.207819,0.0,-3.0643,0.785614,1513.43
0.772727,7072790.0,1816.72,0.148317,0.0,-2.81691,0.813783,1543.72
0.747475,6932550.0,1806.08,0.101909,0.0,-2.5686,0.838409,1533.08
0.722222,7089350.0,1771.43,0.0660649,0.0,-2.33809,0.861841,1498.43
0.69697,5390410.0,1699.12,0.0420478,1.91637e-33,-2.11365,0.88251,1426.12
0.671717,4072450.0,1600.52,0.0258822,0.0,-1.90124,0.898716,1327.52
0.646465,2596170.0,1485.45,0.0156242,0.0,-1.70317,0.913712,1212.45
0.621212,1606260.0,1366.26,0.00954014,0.0,-1.51846,0.923599,1093.26
0.59596,1004090.0,1252.51,0.00584975,0.0,-1.34755,0.930308,979.51
0.570707,648916.0,1149.88,0.00369418,0.0,-1.18977,0.935412,876.8800000000001
0.545455,415202.0,1056.96,0.00230857,0.0,-1.04063,0.94024,783.96
0.520202,262325.0,970.828,0.00142599,0.0,-0.90009,0.943376,697.828
0.494949,167036.0,894.423,0.000888486,0.0,-0.768981,0.944664,621.423
0.469697,107618.0,829.039,0.00056226,0.0,-0.646114,0.944958,556.039
0.444444,70705.3,773.755,0.000363899,0.0,-0.529631,0.945162,500.755
0.419192,45780.3,724.663,0.000233355,9.338400000000001e-35,-0.418447,0.945148,451.663
0.393939,29282.1,682.315,0.000148518,0.0,-0.313884,0.944061,409.31500000000005
0.368687,18882.0,648.077,9.58644e-05,0.0,-0.214777,0.942455,375.077
0.343434,12251.6,621.53,6.27342e-05,0.0,-0.120966,0.940354,348.53
0.318182,8028.51,602.21,4.18001e-05,0.0,-0.0327071,0.937343,329.21000000000004
0.292929,5329.87,589.873,2.84607e-05,0.0,0.0496552,0.932637,316.87300000000005
0.267677,3617.78,584.541,1.99922e-05,0.0,0.126052,0.925244,311.54100000000005
0.242424,2551.72,585.953,1.47079e-05,0.0,0.196946,0.914214,312.953
0.217172,1874.64,592.992,1.13455e-05,0.0,0.262825,0.89845,319.99199999999996
0.191919,1378.18,604.409,8.82295e-06,0.0,0.323697,0.876493,331.409
0.166667,1052.5,619.613,7.14771e-06,0.0,0.379963,0.848111,346.61300000000006
0.141414,828.473,637.137,5.9721e-06,0.0,0.431708,0.813307,364.13699999999994
0.116162,657.001,655.543,5.03105e-06,0.0,0.478234,0.772756,382.543
0.0909091,540.788,673.813,4.38396e-06,0.0,0.519396,0.727672,400.813
0.0656566,455.667,690.657,3.89877e-06,0.0,0.55489,0.67954,417.65700000000004
0.040404,386.454,704.833,3.48628e-06,0.0,0.584124,0.630343,431.83299999999997
0.0151515,323.603,715.314,3.08558e-06,0.0,0.605774,0.58216,442.31399999999996
-0.010101,270.912,721.335,2.73987e-06,0.0,0.621139,0.53963,448.33500000000004
-0.0353535,235.986,724.431,2.48924e-06,0.0,0.624489,0.504253,451.43100000000004
-0.0606061,201.414,724.355,2.19893e-06,0.0,0.623505,0.47557,451.355
-0.0858586,178.608,722.673,1.99599e-06,0.0,0.6157,0.44963,449.673
-0.111111,142.504,718.231,1.6527e-06,0.0,0.613015,0.425671,445.231
-0.136364,121.768,712.234,1.43675e-06,0.0,0.594935,0.404748,439.23400000000004
-0.161616,104.54,705.106,1.25402e-06,0.0,0.574333,0.384877,432.106
-0.186869,91.645,696.58,1.11231e-06,0.0,0.550616,0.366305,423.58000000000004
-0.212121,76.6332,686.818,9.38653e-07,0.0,0.528811,0.349997,413.818
-0.237374,69.0753,677.485,8.51019e-07,0.0,0.498029,0.335734,404.485
-0.262626,61.5174,668.152,7.63385e-07,0.0,0.467247,0.321471,395.15200000000004
-0.287879,54.18,658.819,6.79204e-07,0.0,0.436187,0.307268,385.81899999999996
-0.313131,43.246,646.769,5.48718e-07,0.0,0.402667,0.295489,373.769
-0.338384,38.6813,637.453,4.92759e-07,0.0,0.354552,0.285799,364.453
-0.363636,34.1166,628.138,4.368e-07,0.0,0.306437,0.276109,355.13800000000003
-0.388889,29.5519,618.823,3.80841e-07,0.0,0.258323,0.266419,345.823
-0.414141,23.6057,608.123,3.0338e-07,0.0,0.207734,0.257836,335.12300000000005
-0.439394,21.3977,600.035,2.75902e-07,0.0,0.145018,0.249871,327.03499999999997
-0.464646,19.1897,591.947,2.48425e-07,0.0,0.0823016,0.241907,318.947
-0.489899,16.9817,583.86,2.20948e-07,0.0,0.0195854,0.233942,310.86
-0.515152,14.3736,575.583,1.87118e-07,0.0,-0.0449061,0.227868,302.58299999999997
-0.540404,13.2742,569.95,1.73389e-07,0.0,-0.117512,0.222986,296.95000000000005
-0.565657,12.1747,564.318,1.59659e-07,0.0,-0.190117,0.218104,291.318
-0.590909,11.0752,558.686,1.45929e-07,0.0,-0.262723,0.213221,285.68600000000004
-0.616162,9.8524,553.484,1.30307e-07,0.0,-0.336444,0.210368,280.48400000000004
-0.641414,9.26665,550.493,1.23117e-07,0.0,-0.415348,0.208447,277.49300000000005
-0.666667,8.68089,547.503,1.15926e-07,0.0,-0.494252,0.206526,274.50300000000004
-0.691919,8.09514,544.512,1.08736e-07,0.0,-0.573156,0.204606,271.51199999999994
-0.717172,7.46018,542.05,1.00899e-07,0.0,-0.651559,0.203883,269.04999999999995
-0.742424,7.11438,541.214,9.69149e-08,0.0,-0.731925,0.203417,268.21400000000006
-0.767677,6.76858,540.378,9.29305e-08,0.0,-0.81229,0.202952,267.37800000000004
-0.792929,6.42278,539.542,8.89461e-08,0.0,-0.892656,0.202486,266.54200000000003
-0.818182,6.06435,539.295,8.48469e-08,0.0,-0.967655,0.202616,266.29499999999996
-0.843434,5.85063,540.211,8.26921e-08,0.0,-1.04056,0.202558,267.211
-0.868687,5.63691,541.127,8.05372e-08,0.0,-1.11347,0.2025,268.12699999999995
-0.893939,5.42318,542.043,7.83824e-08,0.0,-1.18638,0.202443,269.043
-0.919192,5.21947,543.582,7.63008e-08,0.0,-1.2463,0.202843,270.582
-0.944444,5.10012,545.966,7.53039e-08,0.0,-1.29906,0.202994,272.966
-0.969697,4.98077,548.35,7.4307e-08,0.0,-1.35182,0.203146,275.35
-0.994949,4.86142,550.735,7.33101e-08,0.0,-1.40458,0.203297,277.735
-1.0202,4.7567,553.772,7.24148e-08,0.0,-1.43538,0.203705,280.77200000000005
-1.04545,4.70315,557.429,7.21597e-08,0.0,-1.45389,0.2041,284.429
-1.07071,4.6496,561.087,7.19045e-08,0.0,-1.47239,0.204495,288.087
-1.09596,4.59605,564.745,7.16494e-08,0.0,-1.49089,0.20489,291.745
-1.12121,4.52379,568.977,7.11171e-08,0.0,-1.48114,0.20468,295.977
-1.14646,4.46698,573.61,7.0783e-08,0.0,-1.45629,0.204659,300.61
-1.17172,4.41016,578.242,7.04489e-08,0.0,-1.43145,0.204639,305.24199999999996
-1.19697,4.35335,582.875,7.01149e-08,0.0,-1.4066,0.204618,309.875
-1.22222,4.2584,588.218,6.87761e-08,0.0,-1.35167,0.200677,315.21799999999996
-1.24747,4.16218,593.923,6.7185e-08,0.0,-1.28226,0.1959,320.923
-1.27273,4.06596,599.629,6.55938e-08,0.0,-1.21285,0.191123,326.629
