y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9172790.0,1198.04,0.120784,0.0,0.0268825,0.427796,925.04
0.974747,351750.0,351.129,0.00140308,0.0,0.212081,0.598966,78.12900000000002
0.949495,5519.89,296.154,4.02103e-05,0.0,0.408829,0.517347,23.153999999999996
0.924242,341.196,293.334,3.4501e-06,0.0,0.564781,0.465849,20.334000000000003
0.89899,32.3218,293.027,4.10607e-07,0.0,0.691159,0.43034,20.026999999999987
0.873737,3.73372,292.985,5.58604e-08,0.0,0.799003,0.407385,19.985000000000014
0.848485,0.489247,292.98,8.18916e-09,0.0,0.894657,0.392922,19.980000000000018
0.823232,0.0692479,292.979,1.25232e-09,0.0,0.981709,0.383671,19.978999999999985
0.79798,0.0101703,292.978,1.94287e-10,0.0,1.06225,0.377409,19.97800000000001
0.772727,0.00146969,292.978,2.92182e-11,0.0,1.13752,0.372752,19.97800000000001
0.747475,0.00020638,292.978,4.2236e-12,0.0,1.20829,0.368896,19.97800000000001
0.722222,2.7816e-05,292.978,5.80972e-13,0.0,1.27504,0.36539,19.97800000000001
0.69697,3.58835e-06,292.978,7.59379e-14,4.85716e-34,1.33807,0.361995,19.97800000000001
0.671717,4.33794e-07,292.978,9.24338e-15,0.0,1.3976,0.358591,19.97800000000001
0.646465,4.91658e-08,292.978,1.04917e-15,0.0,1.45373,0.355124,19.97800000000001
0.621212,5.3258e-09,292.978,1.13291e-16,0.0,1.50657,0.351575,19.97800000000001
0.59596,6.02765e-10,292.978,1.27304e-17,0.0,1.55617,0.347946,19.97800000000001
0.570707,1.28814e-10,292.978,2.6898700000000002e-18,0.0,1.60255,0.34425,19.97800000000001
0.545455,9.38948e-11,292.977,1.93453e-18,0.0,1.64574,0.340503,19.976999999999975
0.520202,1.03896e-10,292.977,2.1113800000000003e-18,0.0,1.68575,0.336724,19.976999999999975
0.494949,1.1991e-10,292.977,2.40278e-18,0.0,1.72259,0.332932,19.976999999999975
0.469697,1.38237e-10,292.977,2.7313900000000002e-18,0.0,1.75626,0.329144,19.976999999999975
0.444444,1.58962e-10,292.977,3.0980800000000002e-18,0.0,1.78678,0.325378,19.976999999999975
0.419192,1.82474e-10,292.977,3.50963e-18,7.42632e-36,1.81415,0.321647,19.976999999999975
0.393939,2.0762e-10,292.977,3.94299e-18,0.0,1.83838,0.317966,19.976999999999975
0.368687,2.35079e-10,292.977,4.4104400000000005e-18,0.0,1.85947,0.314346,19.976999999999975
0.343434,2.65209e-10,292.977,4.91753e-18,0.0,1.87743,0.310799,19.976999999999975
0.318182,2.98126e-10,292.977,5.464850000000001e-18,0.0,1.89229,0.307333,19.976999999999975
0.292929,3.34026e-10,292.977,6.054160000000001e-18,0.0,1.90404,0.303954,19.976999999999975
0.267677,3.73173e-10,292.977,6.688150000000001e-18,0.0,1.91273,0.300669,19.976999999999975
0.242424,4.1586e-10,292.977,7.36963e-18,0.0,1.91836,0.297482,19.976999999999975
0.217172,4.63563e-10,292.977,8.12178e-18,0.0,1.92096,0.294394,19.976999999999975
0.191919,5.16786e-10,292.977,8.9495e-18,0.0,1.92055,0.291406,19.976999999999975
0.166667,5.74211e-10,292.977,9.825760000000002e-18,0.0,1.91718,0.288517,19.976999999999975
0.141414,6.39727e-10,292.977,1.08122e-17,0.0,1.91089,0.285722,19.976999999999975
0.116162,7.12321e-10,292.977,1.18854e-17,0.0,1.90173,0.283016,19.976999999999975
0.0909091,7.91987e-10,292.977,1.30384e-17,0.0,1.88978,0.280385,19.976999999999975
0.0656566,8.83034e-10,292.977,1.43347e-17,0.0,1.87514,0.277813,19.976999999999975
0.040404,9.90894e-10,292.977,1.58514e-17,0.0,1.85791,0.275298,19.976999999999975
