y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,610599.0,971.141,0.978944,0.0,-4.22466,0.248243,698.141
0.974747,5447300.0,1127.0,0.802092,0.0,-3.59332,0.743278,854.0
0.949495,7963980.0,1331.61,0.58714,0.0,-2.56294,0.905591,1058.61
0.924242,10929100.0,1518.05,0.337668,0.0,-1.17137,0.669869,1245.05
0.89899,8152680.0,926.47,0.0585784,0.0,0.136943,0.175057,653.47
0.873737,191449.0,341.724,0.00118382,0.0,0.459356,0.153484,68.72399999999999
0.848485,8885.37,298.202,8.46748e-05,0.0,0.636311,0.237812,25.201999999999998
0.823232,697.786,293.752,8.80649e-06,0.0,0.787493,0.282475,20.75200000000001
0.79798,65.3548,293.175,1.00172e-06,0.0,0.90995,0.305651,20.17500000000001
0.772727,6.62708,293.096,1.15363e-07,0.0,1.01287,0.317985,20.096000000000004
0.747475,0.687745,293.083,1.30064e-08,0.0,1.10262,0.324574,20.083000000000027
0.722222,0.0707212,293.08,1.41249e-09,0.0,1.1829,0.3279,20.079999999999984
0.69697,0.00708902,293.078,1.4675e-10,5.521020000000001e-34,1.2559,0.32923,20.077999999999975
0.671717,0.00068671,293.077,1.45379e-11,0.0,1.32296,0.32926,20.076999999999998
0.646465,6.4087e-05,293.075,1.37353e-12,0.0,1.38493,0.3284,20.07499999999999
0.621212,5.76732e-06,293.074,1.24149e-13,0.0,1.44239,0.326908,20.074000000000012
0.59596,5.02151e-07,293.073,1.07893e-14,0.0,1.4957,0.324956,20.07299999999998
0.570707,4.2606e-08,293.071,9.09362e-16,0.0,1.54514,0.322669,20.071000000000026
0.545455,3.56715e-09,293.07,7.53633e-17,0.0,1.59088,0.320134,20.069999999999993
0.520202,3.08229e-10,293.069,6.43069e-18,0.0,1.63307,0.31742,20.069000000000017
0.494949,3.88124e-11,293.068,7.98871e-19,0.0,1.67179,0.314579,20.067999999999984
0.469697,1.79358e-11,293.067,3.6423000000000004e-19,0.0,1.70713,0.311654,20.067000000000007
0.444444,1.8333e-11,293.066,3.67158e-19,0.0,1.73913,0.308677,20.065999999999974
0.419192,2.09984e-11,293.065,4.14841e-19,9.39532e-36,1.76784,0.305674,20.064999999999998
0.393939,2.41521e-11,293.064,4.7093e-19,0.0,1.79331,0.302669,20.06400000000002
0.368687,2.77417e-11,293.063,5.34175e-19,0.0,1.81556,0.29968,20.062999999999988
0.343434,3.18264e-11,293.062,6.05471e-19,0.0,1.83462,0.296723,20.062000000000012
0.318182,3.64556e-11,293.061,6.85462e-19,0.0,1.85052,0.293811,20.06099999999998
0.292929,4.16936e-11,293.06,7.75001e-19,0.0,1.86328,0.290953,20.060000000000002
0.267677,4.76178e-11,293.059,8.7511e-19,0.0,1.87293,0.288159,20.059000000000026
0.242424,5.43206e-11,293.058,9.86997e-19,0.0,1.87949,0.285432,20.057999999999993
0.217172,6.21058e-11,293.057,1.1155600000000001e-18,0.0,1.88299,0.282779,20.057000000000016
0.191919,7.11367e-11,293.056,1.2629400000000002e-18,0.0,1.88347,0.2802,20.055999999999983
0.166667,8.12485e-11,293.056,1.4253e-18,0.0,1.88095,0.277697,20.055999999999983
0.141414,9.32747e-11,293.055,1.6161600000000002e-18,0.0,1.87548,0.275267,20.055000000000007
0.116162,1.07102e-10,293.054,1.8321200000000003e-18,0.0,1.86711,0.272905,20.053999999999974
0.0909091,1.22813e-10,293.053,2.0729800000000002e-18,0.0,1.85592,0.270602,20.052999999999997
0.0656566,1.41393e-10,293.052,2.3534800000000004e-18,0.0,1.842,0.268344,20.05200000000002
0.040404,1.64095e-10,293.052,2.6917400000000002e-18,0.0,1.82543,0.266129,20.05200000000002
0.0151515,1.93494e-10,293.051,3.1258300000000003e-18,0.0,1.80552,0.264105,20.050999999999988
-0.010101,2.24573e-10,293.05,3.57294e-18,0.0,1.78146,0.262404,20.05000000000001
-0.0353535,2.56069e-10,293.05,4.0198700000000005e-18,0.0,1.75436,0.260822,20.05000000000001
-0.0606061,2.91292e-10,293.049,4.5036e-18,0.0,1.7256,0.259479,20.048999999999978
-0.0858586,3.25711e-10,293.049,4.961e-18,0.0,1.69549,0.257935,20.048999999999978
-0.111111,3.73561e-10,293.048,5.569750000000001e-18,0.0,1.6599,0.256026,20.048000000000002
-0.136364,4.18601e-10,293.047,6.1332600000000006e-18,0.0,1.61927,0.254198,20.047000000000025
-0.161616,4.69499e-10,293.047,6.76507e-18,0.0,1.57755,0.252532,20.047000000000025
-0.186869,5.27631e-10,293.046,7.481220000000001e-18,0.0,1.53447,0.251063,20.045999999999992
-0.212121,5.6994e-10,293.046,7.95319e-18,0.0,1.48923,0.249531,20.045999999999992
-0.237374,5.86405e-10,293.045,8.05857e-18,0.0,1.43921,0.247827,20.045000000000016
-0.262626,6.0287e-10,293.044,8.16394e-18,0.0,1.38919,0.246123,20.043999999999983
