y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9172790.0,1198.04,0.120784,0.0,0.0268823,0.427793,925.04
0.974747,351750.0,351.129,0.00140308,0.0,0.212078,0.598962,78.12900000000002
0.949495,5519.89,296.154,4.02103e-05,0.0,0.408825,0.517345,23.153999999999996
0.924242,341.196,293.334,3.4501e-06,0.0,0.564776,0.465847,20.334000000000003
0.89899,32.3218,293.027,4.10607e-07,0.0,0.691152,0.430338,20.026999999999987
0.873737,3.73372,292.985,5.58604e-08,0.0,0.798996,0.407384,19.985000000000014
0.848485,0.489247,292.98,8.18916e-09,0.0,0.89465,0.392921,19.980000000000018
0.823232,0.0692479,292.979,1.25232e-09,0.0,0.981701,0.383671,19.978999999999985
0.79798,0.0101703,292.978,1.94287e-10,0.0,1.06224,0.377408,19.97800000000001
0.772727,0.00146969,292.978,2.92182e-11,0.0,1.13751,0.372752,19.97800000000001
0.747475,0.00020638,292.978,4.2236e-12,0.0,1.20828,0.368895,19.97800000000001
0.722222,2.7816e-05,292.978,5.80972e-13,0.0,1.27503,0.36539,19.97800000000001
0.69697,3.58835e-06,292.978,7.59379e-14,4.85716e-34,1.33807,0.361995,19.97800000000001
0.671717,4.33794e-07,292.978,9.24338e-15,0.0,1.39759,0.358591,19.97800000000001
0.646465,4.91658e-08,292.978,1.04917e-15,0.0,1.45373,0.355124,19.97800000000001
0.621212,5.3258e-09,292.978,1.13291e-16,0.0,1.50657,0.351575,19.97800000000001
0.59596,6.02765e-10,292.978,1.27304e-17,0.0,1.55616,0.347946,19.97800000000001
0.570707,1.28814e-10,292.978,2.6898700000000002e-18,0.0,1.60254,0.344251,19.97800000000001
0.545455,9.38948e-11,292.977,1.93453e-18,0.0,1.64573,0.340504,19.976999999999975
0.520202,1.03896e-10,292.977,2.1113800000000003e-18,0.0,1.68574,0.336725,19.976999999999975
0.494949,1.1991e-10,292.977,2.40278e-18,0.0,1.72258,0.332932,19.976999999999975
0.469697,1.38237e-10,292.977,2.7313900000000002e-18,0.0,1.75626,0.329145,19.976999999999975
0.444444,1.58962e-10,292.977,3.0980800000000002e-18,0.0,1.78678,0.325379,19.976999999999975
0.419192,1.82474e-10,292.977,3.50963e-18,7.42654e-36,1.81415,0.321648,19.976999999999975
0.393939,2.0762e-10,292.977,3.94299e-18,0.0,1.83837,0.317967,19.976999999999975
0.368687,2.35079e-10,292.977,4.4104400000000005e-18,0.0,1.85946,0.314347,19.976999999999975
0.343434,2.65209e-10,292.977,4.91753e-18,0.0,1.87743,0.3108,19.976999999999975
0.318182,2.98126e-10,292.977,5.464850000000001e-18,0.0,1.89228,0.307334,19.976999999999975
0.292929,3.34026e-10,292.977,6.054160000000001e-18,0.0,1.90404,0.303956,19.976999999999975
0.267677,3.73173e-10,292.977,6.688150000000001e-18,0.0,1.91272,0.300671,19.976999999999975
0.242424,4.1586e-10,292.977,7.36963e-18,0.0,1.91835,0.297484,19.976999999999975
0.217172,4.63564e-10,292.977,8.12178e-18,0.0,1.92095,0.294396,19.976999999999975
0.191919,5.16786e-10,292.977,8.9495e-18,0.0,1.92055,0.291408,19.976999999999975
0.166667,5.74211e-10,292.977,9.825760000000002e-18,0.0,1.91718,0.288519,19.976999999999975
0.141414,6.39727e-10,292.977,1.08122e-17,0.0,1.91089,0.285725,19.976999999999975
0.116162,7.12321e-10,292.977,1.18854e-17,0.0,1.90173,0.283018,19.976999999999975
0.0909091,7.91987e-10,292.977,1.30384e-17,0.0,1.88978,0.280388,19.976999999999975
0.0656566,8.83034e-10,292.977,1.43347e-17,0.0,1.87514,0.277816,19.976999999999975
0.040404,9.90894e-10,292.977,1.58514e-17,0.0,1.85791,0.275301,19.976999999999975
0.0151515,1.12734e-09,292.977,1.77596e-17,0.0,1.83733,0.273017,19.976999999999975
-0.010101,1.26529e-09,292.977,1.96317e-17,0.0,1.81256,0.271136,19.976999999999975
-0.0353535,1.40314e-09,292.977,2.14811e-17,0.0,1.78484,0.269398,19.976999999999975
-0.0606061,1.55061e-09,292.977,2.33861e-17,0.0,1.75558,0.267964,19.976999999999975
-0.0858586,1.68872e-09,292.977,2.50976e-17,0.0,1.72501,0.266311,19.976999999999975
-0.111111,1.87081e-09,292.977,2.72248e-17,0.0,1.68878,0.264279,19.976999999999975
-0.136364,2.037e-09,292.977,2.9134e-17,0.0,1.64743,0.262304,19.976999999999975
-0.161616,2.22187e-09,292.977,3.12595e-17,0.0,1.60519,0.260519,19.976999999999975
-0.186869,2.42979e-09,292.977,3.36518e-17,0.0,1.56184,0.25897,19.976999999999975
-0.212121,2.56947e-09,292.977,3.50341e-17,0.0,1.51645,0.257382,19.976999999999975
-0.237374,2.60907e-09,292.977,3.50606e-17,0.0,1.46642,0.255627,19.976999999999975
-0.262626,2.64867e-09,292.977,3.50871e-17,0.0,1.41639,0.253873,19.976999999999975
-0.287879,2.69891e-09,292.977,3.52532e-17,0.0,1.36625,0.252142,19.976999999999975
-0.313131,2.7771e-09,292.977,3.55645e-17,0.0,1.3075,0.250424,19.976999999999975
-0.338384,2.62198e-09,292.978,3.30861e-17,0.0,1.24189,0.248093,19.97800000000001
-0.363636,2.46686e-09,292.978,3.06077e-17,0.0,1.17627,0.245762,19.97800000000001
-0.388889,2.31174e-09,292.978,2.81294e-17,0.0,1.11066,0.243431,19.97800000000001
-0.414141,2.06953e-09,292.978,2.44867e-17,0.0,1.03861,0.240938,19.97800000000001
-0.439394,1.90589e-09,292.978,2.22541e-17,0.0,0.960332,0.23802,19.97800000000001
-0.464646,1.74225e-09,292.978,2.00216e-17,0.0,0.882059,0.235102,19.97800000000001
-0.489899,1.57861e-09,292.978,1.7789e-17,0.0,0.803785,0.232184,19.97800000000001
-0.515152,1.34231e-09,292.978,1.47003e-17,0.0,0.719932,0.229236,19.97800000000001
-0.540404,1.20945e-09,292.978,1.30874e-17,0.0,0.630995,0.225652,19.97800000000001
-0.565657,1.07658e-09,292.978,1.14744e-17,0.0,0.542058,0.222068,19.97800000000001
-0.590909,9.43718e-10,292.978,9.86141e-18,0.0,0.453122,0.218484,19.97800000000001
-0.616162,7.5893e-10,292.978,7.71218e-18,0.0,0.355384,0.214416,19.97800000000001
-0.641414,6.63834e-10,292.978,6.6894100000000005e-18,0.0,0.250388,0.209527,19.97800000000001
-0.666667,5.68738e-10,292.978,5.666640000000001e-18,0.0,0.145391,0.204638,19.97800000000001
-0.691919,4.73642e-10,292.978,4.6438700000000004e-18,0.0,0.0403949,0.199749,19.97800000000001
-0.717172,3.50811e-10,292.978,3.3682100000000004e-18,0.0,-0.0656182,0.194331,19.97800000000001
-0.742424,2.96098e-10,292.978,2.84201e-18,0.0,-0.173483,0.188185,19.97800000000001
-0.767677,2.41385e-10,292.978,2.31581e-18,0.0,-0.281348,0.182039,19.97800000000001
-0.792929,1.86672e-10,292.978,1.7896100000000002e-18,0.0,-0.389213,0.175893,19.97800000000001
-0.818182,1.25016e-10,292.978,1.2041300000000002e-18,0.0,-0.486114,0.170365,19.97800000000001
-0.843434,1.05612e-10,292.978,1.0272e-18,0.0,-0.577261,0.164569,19.97800000000001
-0.868687,8.62078e-11,292.978,8.502700000000001e-19,0.0,-0.668407,0.158774,19.97800000000001
-0.893939,6.68038e-11,292.978,6.73338e-19,0.0,-0.759554,0.152978,19.97800000000001
-0.919192,4.5648e-11,292.978,4.78546e-19,0.0,-0.837945,0.148568,19.97800000000001
-0.944444,3.89692e-11,292.978,4.14735e-19,0.0,-0.909363,0.144443,19.97800000000001
-0.969697,3.22905e-11,292.978,3.5092400000000003e-19,0.0,-0.980782,0.140318,19.97800000000001
-0.994949,2.56117e-11,292.978,2.87113e-19,0.0,-1.0522,0.136193,19.97800000000001
-1.0202,1.85383e-11,292.978,2.18203e-19,0.0,-1.10171,0.134479,19.97800000000001
-1.04545,1.60132e-11,292.978,1.91816e-19,0.0,-1.13919,0.134091,19.97800000000001
-1.07071,1.34882e-11,292.978,1.65428e-19,0.0,-1.17667,0.133704,19.97800000000001
-1.09596,1.09632e-11,292.978,1.39041e-19,0.0,-1.21415,0.133316,19.97800000000001
-1.12121,8.38491e-12,292.978,1.1111e-19,0.0,-1.22258,0.136807,19.97800000000001
-1.14646,7.31182e-12,292.978,9.818149999999999e-20,0.0,-1.21562,0.142652,19.97800000000001
-1.17172,6.23873e-12,292.978,8.52525e-20,0.0,-1.20867,0.148497,19.97800000000001
-1.19697,5.16564e-12,292.978,7.232349999999999e-20,0.0,-1.20171,0.154342,19.97800000000001
-1.22222,4.1068e-12,292.978,5.88078e-20,0.0,-1.1619,0.163802,19.97800000000001
-1.24747,3.5874e-12,292.978,5.1357099999999995e-20,0.0,-1.10573,0.175596,19.97800000000001
-1.27273,3.06801e-12,292.978,4.3906499999999993e-20,0.0,-1.04956,0.187391,19.97800000000001
-1.29798,2.54861e-12,292.978,3.6455799999999994e-20,0.0,-0.993388,0.199186,19.97800000000001
-1.32323,1.97967e-12,292.978,2.73525e-20,0.0,-0.905757,0.213399,19.97800000000001
-1.34848,1.72543e-12,292.978,2.2706e-20,0.0,-0.806422,0.229364,19.97800000000001
-1.37374,1.47119e-12,292.978,1.80595e-20,0.0,-0.707087,0.245328,19.97800000000001
-1.39899,1.21696e-12,292.978,1.3413e-20,0.0,-0.607752,0.261292,19.97800000000001
-1.42424,1.00409e-12,292.979,9.44112e-21,0.0,-0.482998,0.28229,19.978999999999985
-1.44949,8.16803e-13,292.979,5.9465299999999994e-21,0.0,-0.346426,0.305382,19.978999999999985
-1.47475,6.964e-13,292.979,3.78538e-21,0.0,-0.216143,0.250658,19.978999999999985
-1.5,5.87362e-13,292.979,1.85157e-21,0.0,-0.0876015,0.172635,19.978999999999985
