y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9110080.0,1195.58,0.119587,0.0,0.0266809,0.427815,922.5799999999999
0.974747,343877.0,350.088,0.00135494,0.0,0.218306,0.596338,77.08800000000002
0.949495,5270.65,295.884,3.77304e-05,0.0,0.419927,0.512375,22.884000000000015
0.924242,346.02,293.194,3.45405e-06,0.0,0.578986,0.458788,20.194000000000017
0.89899,38.8926,292.913,4.89703e-07,0.0,0.707406,0.421745,19.91300000000001
0.873737,5.88681,292.877,8.74095e-08,0.0,0.816745,0.397727,19.87700000000001
0.848485,1.08407,292.872,1.8005e-08,0.0,0.91359,0.382539,19.872000000000014
0.823232,0.227846,292.871,4.08623e-09,0.0,1.00164,0.372806,19.87099999999998
0.79798,0.0513467,292.87,9.72039e-10,0.0,1.08303,0.366233,19.870000000000005
0.772727,0.0117079,292.87,2.30538e-10,0.0,1.15904,0.361389,19.870000000000005
0.747475,0.00276756,292.87,5.60681e-11,0.0,1.23044,0.357439,19.870000000000005
0.722222,0.000679565,292.869,1.40421e-11,0.0,1.29773,0.353912,19.869000000000028
0.69697,0.000172181,292.869,3.60225e-12,4.99738e-34,1.36123,0.350555,19.869000000000028
0.671717,4.20429e-05,292.869,8.85014e-13,0.0,1.42114,0.347237,19.869000000000028
0.646465,1.0378e-05,292.869,2.18624e-13,0.0,1.47761,0.343895,19.869000000000028
0.621212,2.66873e-06,292.868,5.60045e-14,0.0,1.53072,0.340505,19.867999999999995
0.59596,7.56616e-07,292.868,1.57568e-14,0.0,1.58054,0.337063,19.867999999999995
0.570707,2.74998e-07,292.868,5.66561e-15,0.0,1.6271,0.333577,19.867999999999995
0.545455,1.51797e-07,292.868,3.08702e-15,0.0,1.67043,0.330058,19.867999999999995
0.520202,1.26149e-07,292.867,2.52983e-15,0.0,1.71054,0.326522,19.86700000000002
0.494949,1.25905e-07,292.867,2.48963e-15,0.0,1.74745,0.322983,19.86700000000002
0.469697,1.31711e-07,292.867,2.56846e-15,0.0,1.78117,0.319457,19.86700000000002
0.444444,1.38991e-07,292.867,2.67405e-15,0.0,1.81171,0.315957,19.86700000000002
0.419192,1.46625e-07,292.867,2.78454e-15,8.22254e-36,1.83907,0.312496,19.86700000000002
0.393939,1.54353e-07,292.866,2.8951e-15,0.0,1.86327,0.309084,19.865999999999985
0.368687,1.62092e-07,292.866,3.00423e-15,0.0,1.8843,0.305732,19.865999999999985
0.343434,1.69807e-07,292.866,3.11122e-15,0.0,1.9022,0.302449,19.865999999999985
0.318182,1.77486e-07,292.866,3.21567e-15,0.0,1.91696,0.299242,19.865999999999985
0.292929,1.85121e-07,292.866,3.31716e-15,0.0,1.9286,0.296116,19.865999999999985
0.267677,1.92719e-07,292.866,3.41557e-15,0.0,1.93714,0.293075,19.865999999999985
0.242424,2.00296e-07,292.866,3.51094e-15,0.0,1.94261,0.290122,19.865999999999985
0.217172,2.07795e-07,292.865,3.60199e-15,0.0,1.94502,0.287259,19.86500000000001
0.191919,2.15244e-07,292.865,3.68892e-15,0.0,1.94441,0.284485,19.86500000000001
0.166667,2.2284e-07,292.865,3.77475e-15,0.0,1.94081,0.281799,19.86500000000001
0.141414,2.30418e-07,292.865,3.85629e-15,0.0,1.93425,0.279195,19.86500000000001
0.116162,2.38275e-07,292.865,3.93803e-15,0.0,1.9248,0.276669,19.86500000000001
0.0909091,2.46761e-07,292.865,4.02519e-15,0.0,1.91252,0.274208,19.86500000000001
