y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,1522350.0,958.018,0.991688,0.0,-20.2537,0.0234286,685.018
0.974747,9660330.0,1038.12,0.903843,0.0,-19.2667,0.228864,765.1199999999999
0.949495,6142690.0,1109.6,0.845131,0.0,-18.178,0.422661,836.5999999999999
0.924242,4461710.0,1166.84,0.796571,0.0,-17.3306,0.648572,893.8399999999999
0.89899,3943250.0,1225.77,0.745447,0.0,-16.4442,0.864689,952.77
0.873737,3943330.0,1290.43,0.689485,0.0,-15.4955,1.05693,1017.4300000000001
0.848485,4248500.0,1362.73,0.627628,0.0,-14.4662,1.21809,1089.73
0.823232,4962580.0,1442.21,0.559763,0.0,-13.347,1.33945,1169.21
0.79798,6489500.0,1525.0,0.486957,0.0,-12.139,1.42136,1252.0
0.772727,8242670.0,1610.83,0.411258,0.0,-10.875,1.46254,1337.83
0.747475,9608300.0,1699.65,0.335454,0.0,-9.59369,1.46374,1426.65
0.722222,10271200.0,1789.62,0.262836,0.0,-8.33495,1.43099,1516.62
0.69697,10321900.0,1874.69,0.197098,1.1605400000000001e-32,-7.13204,1.36862,1601.69
0.671717,8434360.0,1934.33,0.144155,0.0,-6.01053,1.27552,1661.33
0.646465,6751390.0,1981.92,0.105163,0.0,-5.02421,1.14824,1708.92
0.621212,5156620.0,2038.9,0.0784009,0.0,-4.19747,0.979979,1765.9
0.59596,3533480.0,2100.55,0.0638214,0.0,-3.50846,0.748282,1827.5500000000002
0.570707,2028840.0,2140.69,0.0630427,0.0,-2.90419,0.414409,1867.69
0.545455,1029270.0,2138.13,0.0757238,0.0,-2.30235,-0.0703248,1865.13
0.520202,833828.0,2108.39,0.0962489,0.0,-1.68832,-0.655721,1835.3899999999999
0.494949,1295330.0,2069.35,0.112846,0.0,-1.02146,-1.24725,1796.35
0.469697,3846470.0,2012.89,0.104948,0.0,-0.252677,-1.70014,1739.89
0.444444,8606000.0,1740.21,0.0550153,0.0,0.51946,-1.70247,1467.21
0.419192,2621230.0,844.667,0.00885079,4.17577e-34,0.734827,-1.06163,571.667
0.393939,84508.7,332.218,0.000313298,0.0,0.591968,-0.543189,59.21800000000002
0.368687,1532.72,294.436,9.98732e-06,0.0,0.769721,-0.27244,21.43599999999998
0.343434,36.4296,292.964,3.76657e-07,0.0,0.964777,-0.107243,19.964
0.318182,1.11474,292.904,1.57788e-08,0.0,1.11946,-0.00182997,19.903999999999996
0.292929,0.0412459,292.901,6.96877e-10,0.0,1.2395,0.0674686,19.90100000000001
0.267677,0.00165952,292.9,3.06664e-11,0.0,1.3328,0.114378,19.899999999999977
0.242424,6.84074e-05,292.9,1.31169e-12,0.0,1.40551,0.146975,19.899999999999977
0.217172,2.8131e-06,292.9,5.42833e-14,0.0,1.46212,0.170126,19.899999999999977
0.191919,1.26079e-07,292.9,2.40788e-15,0.0,1.50586,0.186852,19.899999999999977
0.166667,1.68853e-08,292.9,3.14913e-16,0.0,1.53908,0.199084,19.899999999999977
0.141414,1.30294e-08,292.9,2.3837e-16,0.0,1.56351,0.208095,19.899999999999977
0.116162,1.3681e-08,292.9,2.46558e-16,0.0,1.58046,0.214742,19.899999999999977
0.0909091,1.46084e-08,292.9,2.59492e-16,0.0,1.5909,0.219614,19.899999999999977
0.0656566,1.56536e-08,292.9,2.74085e-16,0.0,1.59562,0.223122,19.899999999999977
0.040404,1.6868e-08,292.9,2.91065e-16,0.0,1.59525,0.225576,19.899999999999977
0.0151515,1.83919e-08,292.9,3.12631e-16,0.0,1.58997,0.227386,19.899999999999977
-0.010101,1.99203e-08,292.9,3.33727e-16,0.0,1.57937,0.228472,19.899999999999977
-0.0353535,2.14902e-08,292.899,3.55325e-16,0.0,1.56502,0.229341,19.899
-0.0606061,2.31535e-08,292.899,3.77323e-16,0.0,1.54695,0.229749,19.899
-0.0858586,2.47092e-08,292.899,3.96878e-16,0.0,1.52631,0.229732,19.899
-0.111111,2.66409e-08,292.899,4.19339e-16,0.0,1.5006,0.229039,19.899
-0.136364,2.84871e-08,292.899,4.40475e-16,0.0,1.46975,0.228373,19.899
-0.161616,3.05491e-08,292.899,4.6432e-16,0.0,1.43632,0.227708,19.899
-0.186869,3.28777e-08,292.899,4.91509e-16,0.0,1.39972,0.227045,19.899
-0.212121,3.44224e-08,292.899,5.06149e-16,0.0,1.36064,0.225977,19.899
-0.237374,3.48868e-08,292.899,5.04978e-16,0.0,1.31661,0.22459,19.899
-0.262626,3.53513e-08,292.899,5.03807e-16,0.0,1.27258,0.223203,19.899
-0.287879,3.58995e-08,292.899,5.03813e-16,0.0,1.22845,0.221829,19.899
-0.313131,3.63048e-08,292.899,4.99235e-16,0.0,1.17589,0.219963,19.899
-0.338384,3.45214e-08,292.899,4.66848e-16,0.0,1.11624,0.217648,19.899
-0.363636,3.27381e-08,292.899,4.3446e-16,0.0,1.0566,0.215334,19.899
-0.388889,3.09547e-08,292.899,4.02072e-16,0.0,0.996954,0.213019,19.899
-0.414141,2.83408e-08,292.899,3.58178e-16,0.0,0.930404,0.210221,19.899
-0.439394,2.63038e-08,292.899,3.27363e-16,0.0,0.857088,0.206985,19.899
-0.464646,2.42667e-08,292.899,2.96548e-16,0.0,0.783771,0.20375,19.899
-0.489899,2.22296e-08,292.899,2.65732e-16,0.0,0.710454,0.200514,19.899
-0.515152,1.95125e-08,292.899,2.26836e-16,0.0,0.630737,0.197171,19.899
-0.540404,1.76977e-08,292.899,2.029e-16,0.0,0.545203,0.193508,19.899
-0.565657,1.5883e-08,292.899,1.78963e-16,0.0,0.459669,0.189845,19.899
-0.590909,1.40682e-08,292.899,1.55027e-16,0.0,0.374135,0.186181,19.899
-0.616162,1.17754e-08,292.899,1.26337e-16,0.0,0.28061,0.182722,19.899
-0.641414,1.03535e-08,292.899,1.10035e-16,0.0,0.180248,0.179094,19.899
-0.666667,8.93164e-09,292.899,9.3732e-17,0.0,0.0798865,0.175466,19.899
-0.691919,7.50974e-09,292.899,7.74293e-17,0.0,-0.020475,0.171838,19.899
-0.717172,5.86876e-09,292.899,5.93866e-17,0.0,-0.122186,0.167303,19.899
-0.742424,4.99284e-09,292.899,5.05228e-17,0.0,-0.225484,0.162048,19.899
-0.767677,4.11693e-09,292.899,4.16591e-17,0.0,-0.328781,0.156794,19.899
-0.792929,3.24101e-09,292.899,3.27953e-17,0.0,-0.432079,0.151539,19.899
-0.818182,2.36115e-09,292.899,2.40482e-17,0.0,-0.52623,0.14591,19.899
-0.843434,2.01631e-09,292.899,2.077e-17,0.0,-0.615067,0.139955,19.899
-0.868687,1.67146e-09,292.899,1.74917e-17,0.0,-0.703904,0.133999,19.899
-0.893939,1.32661e-09,292.899,1.42135e-17,0.0,-0.792741,0.128044,19.899
-0.919192,9.95904e-10,292.899,1.10546e-17,0.0,-0.868399,0.123493,19.899
-0.944444,8.64908e-10,292.899,9.774440000000001e-18,0.0,-0.936642,0.119541,19.899
-0.969697,7.33913e-10,292.899,8.49426e-18,0.0,-1.00488,0.115589,19.899
-0.994949,6.02918e-10,292.899,7.214080000000001e-18,0.0,-1.07313,0.111637,19.899
-1.0202,4.78665e-10,292.899,5.9708600000000006e-18,0.0,-1.11961,0.109896,19.899
-1.04545,4.23665e-10,292.899,5.385780000000001e-18,0.0,-1.15389,0.109364,19.899
-1.07071,3.68665e-10,292.899,4.8007e-18,0.0,-1.18818,0.108833,19.899
-1.09596,3.13665e-10,292.899,4.215610000000001e-18,0.0,-1.22247,0.108302,19.899
-1.12121,2.61343e-10,292.899,3.63329e-18,0.0,-1.22752,0.111212,19.899
-1.14646,2.34534e-10,292.899,3.3050800000000004e-18,0.0,-1.21689,0.116164,19.899
-1.17172,2.07725e-10,292.899,2.9768700000000003e-18,0.0,-1.20626,0.121116,19.899
-1.19697,1.80916e-10,292.899,2.6486700000000004e-18,0.0,-1.19564,0.126069,19.899
-1.22222,1.55374e-10,292.899,2.3039700000000002e-18,0.0,-1.15341,0.134217,19.899
-1.24747,1.40288e-10,292.899,2.07036e-18,0.0,-1.09535,0.144227,19.899
-1.27273,1.25203e-10,292.899,1.83676e-18,0.0,-1.03729,0.154238,19.899
-1.29798,1.10117e-10,292.899,1.6031600000000001e-18,0.0,-0.979226,0.164249,19.899
-1.32323,9.38057e-11,292.899,1.3028e-18,0.0,-0.890749,0.176132,19.899
-1.34848,8.52428e-11,292.9,1.1162800000000001e-18,0.0,-0.791321,0.188994,19.899999999999977
-1.37374,7.668e-11,292.9,9.29753e-19,0.0,-0.691892,0.201857,19.899999999999977
-1.39899,6.81172e-11,292.9,7.43228e-19,0.0,-0.592463,0.214719,19.899999999999977
-1.42424,5.91278e-11,292.9,5.4965700000000005e-19,0.0,-0.46597,0.230645,19.899999999999977
-1.44949,5.04438e-11,292.9,3.6517300000000003e-19,0.0,-0.327281,0.247853,19.899999999999977
-1.47475,4.42394e-11,292.9,2.41477e-19,0.0,-0.19991,0.2027,19.899999999999977
-1.5,3.84038e-11,292.901,1.27423e-19,0.0,-0.0755007,0.138701,19.90100000000001
