y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9165630.0,1214.82,0.123256,0.0,0.0265127,0.421163,941.8199999999999
0.974747,355712.0,369.789,0.0014626,0.0,0.221325,0.596486,96.78899999999999
0.949495,5550.31,313.482,4.17649e-05,0.0,0.42502,0.512258,40.48200000000003
0.924242,348.331,310.749,3.65625e-06,0.0,0.585747,0.4578,37.749000000000024
0.89899,33.8624,310.528,4.48693e-07,0.0,0.715462,0.420095,37.52800000000002
0.873737,3.99961,310.551,6.25665e-08,0.0,0.825866,0.395622,37.55099999999999
0.848485,0.529024,310.599,9.26843e-09,0.0,0.923623,0.380139,37.59899999999999
0.823232,0.0749078,310.647,1.41897e-09,0.0,1.01247,0.370224,37.64699999999999
0.79798,0.0110341,310.691,2.2095e-10,0.0,1.09457,0.363545,37.690999999999974
0.772727,0.00162153,310.732,3.38145e-11,0.0,1.1712,0.358649,37.73200000000003
0.747475,0.00023824,310.771,5.11708e-12,0.0,1.24314,0.354683,37.771000000000015
0.722222,3.46857e-05,310.808,7.60612e-13,0.0,1.3109,0.351168,37.80799999999999
0.69697,4.99496e-06,310.843,1.10999e-13,5.06471e-34,1.37478,0.347842,37.84300000000002
0.671717,6.90627e-07,310.877,1.5453e-14,0.0,1.43501,0.344568,37.87700000000001
0.646465,9.93196e-08,310.909,2.22521e-15,0.0,1.49173,0.34128,37.90899999999999
0.621212,2.32354e-08,310.94,5.1852e-16,0.0,1.54503,0.33795,37.94
0.59596,1.48693e-08,310.969,3.29083e-16,0.0,1.59498,0.334572,37.968999999999994
0.570707,1.5133e-08,310.998,3.31333e-16,0.0,1.64162,0.331152,37.99799999999999
0.545455,1.65499e-08,311.026,3.57854e-16,0.0,1.68498,0.327699,38.02600000000001
0.520202,1.81679e-08,311.052,3.87552e-16,0.0,1.72508,0.324227,38.05200000000002
0.494949,1.98915e-08,311.078,4.18436e-16,0.0,1.76194,0.32075,38.077999999999975
0.469697,2.17052e-08,311.104,4.50295e-16,0.0,1.79557,0.317284,38.103999999999985
0.444444,2.36163e-08,311.128,4.83368e-16,0.0,1.82598,0.313839,38.127999999999986
0.419192,2.56285e-08,311.152,5.17791e-16,8.273959999999999e-36,1.85319,0.310427,38.15199999999999
0.393939,2.76843e-08,311.176,5.52424e-16,0.0,1.8772,0.307059,38.17599999999999
0.368687,2.98083e-08,311.198,5.87769e-16,0.0,1.89804,0.303745,38.19799999999998
0.343434,3.20079e-08,311.221,6.23926e-16,0.0,1.91572,0.300493,38.221000000000004
0.318182,3.42817e-08,311.243,6.60796e-16,0.0,1.93025,0.29731,38.242999999999995
0.292929,3.66303e-08,311.264,6.98306e-16,0.0,1.94165,0.294201,38.26400000000001
0.267677,3.90595e-08,311.285,7.36469e-16,0.0,1.94993,0.29117,38.285000000000025
0.242424,4.15767e-08,311.306,7.75318e-16,0.0,1.95514,0.28822,38.30599999999998
0.217172,4.42131e-08,311.326,8.15311e-16,0.0,1.95728,0.285353,38.32600000000002
0.191919,4.69779e-08,311.346,8.56468e-16,0.0,1.95639,0.282569,38.346000000000004
0.166667,4.98579e-08,311.366,8.98384e-16,0.0,1.9525,0.279865,38.365999999999985
0.141414,5.29271e-08,311.386,9.42196e-16,0.0,1.94565,0.277239,38.386000000000024
0.116162,5.6196e-08,311.406,9.87861e-16,0.0,1.93591,0.274686,38.406000000000006
0.0909091,5.97119e-08,311.426,1.03595e-15,0.0,1.92334,0.272195,38.42599999999999
0.0656566,6.36145e-08,311.446,1.08858e-15,0.0,1.90805,0.269754,38.446000000000026
0.040404,6.81341e-08,311.468,1.14928e-15,0.0,1.89011,0.267365,38.46800000000002
0.0151515,7.37984e-08,311.494,1.22628e-15,0.0,1.86867,0.265191,38.49400000000003
-0.010101,7.9315e-08,311.51,1.29894e-15,0.0,1.84285,0.263341,38.50999999999999
-0.0353535,8.49686e-08,311.53,1.37319e-15,0.0,1.81394,0.261618,38.52999999999997
-0.0606061,9.07645e-08,311.55,1.44588e-15,0.0,1.78357,0.260164,38.55000000000001
-0.0858586,9.60132e-08,311.569,1.50759e-15,0.0,1.75193,0.25849,38.56900000000002
-0.111111,1.02221e-07,311.582,1.57382e-15,0.0,1.71461,0.256409,38.581999999999994
-0.136364,1.08095e-07,311.602,1.63533e-15,0.0,1.67208,0.25444,38.601999999999975
-0.161616,1.14623e-07,311.621,1.70544e-15,0.0,1.6286,0.252638,38.62099999999998
-0.186869,1.21957e-07,311.64,1.78619e-15,0.0,1.58395,0.251042,38.639999999999986
-0.212121,1.2626e-07,311.657,1.82064e-15,0.0,1.53714,0.249378,38.65699999999998
-0.237374,1.26611e-07,311.672,1.79922e-15,0.0,1.48547,0.247531,38.672000000000025
-0.262626,1.26961e-07,311.688,1.7778e-15,0.0,1.4338,0.245684,38.68799999999999
-0.287879,1.27591e-07,311.703,1.76026e-15,0.0,1.38202,0.243856,38.702999999999975
-0.313131,1.27231e-07,311.716,1.72192e-15,0.0,1.32138,0.241924,38.71600000000001
-0.338384,1.19763e-07,311.73,1.59545e-15,0.0,1.2536,0.239555,38.73000000000002
