y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9187690.0,1197.36,0.120713,0.0,0.0269607,0.429393,924.3599999999999
0.974747,352243.0,350.424,0.0013902,0.0,0.219413,0.597608,77.42399999999998
0.949495,5351.15,296.0,3.81774e-05,0.0,0.422413,0.512606,23.0
0.924242,312.482,293.318,3.10901e-06,0.0,0.58252,0.458332,20.317999999999984
0.89899,27.873,293.04,3.50067e-07,0.0,0.711719,0.420821,20.04000000000002
0.873737,3.02697,293.003,4.48966e-08,0.0,0.821686,0.396507,20.002999999999986
0.848485,0.372311,292.997,6.18699e-09,0.0,0.919063,0.381147,19.997000000000014
0.823232,0.0493982,292.994,8.87815e-10,0.0,1.00757,0.371328,19.994000000000028
0.79798,0.00680195,292.993,1.29255e-10,0.0,1.08936,0.364732,19.992999999999995
0.772727,0.000921859,292.992,1.8246e-11,0.0,1.16571,0.35991,19.99200000000002
0.747475,0.000121532,292.99,2.47798e-12,0.0,1.2374,0.356016,19.99000000000001
0.722222,1.53953e-05,292.989,3.20537e-13,0.0,1.30492,0.352572,19.988999999999976
0.69697,1.86924e-06,292.988,3.94465e-14,5.04314e-34,1.36859,0.349319,19.988
0.671717,2.12987e-07,292.987,4.52633e-15,0.0,1.42863,0.346121,19.987000000000023
0.646465,2.28406e-08,292.986,4.86114e-16,0.0,1.48518,0.342911,19.98599999999999
0.621212,2.42494e-09,292.985,5.14377e-17,0.0,1.53831,0.339663,19.985000000000014
0.59596,3.62332e-10,292.984,7.62483e-18,0.0,1.58811,0.336369,19.98399999999998
0.570707,1.83807e-10,292.983,3.8224300000000005e-18,0.0,1.63461,0.333036,19.983000000000004
0.545455,1.92662e-10,292.982,3.95488e-18,0.0,1.67784,0.329673,19.982000000000028
0.520202,2.21824e-10,292.981,4.49106e-18,0.0,1.71782,0.326293,19.980999999999995
0.494949,2.56335e-10,292.98,5.116520000000001e-18,0.0,1.75456,0.32291,19.980000000000018
0.469697,2.94975e-10,292.98,5.8051400000000005e-18,0.0,1.78808,0.31954,19.980000000000018
0.444444,3.3856e-10,292.979,6.57179e-18,0.0,1.81838,0.316192,19.978999999999985
0.419192,3.87958e-10,292.978,7.4317e-18,8.17714e-36,1.8455,0.312878,19.97800000000001
0.393939,4.40722e-10,292.977,8.33627e-18,0.0,1.86942,0.30961,19.976999999999975
0.368687,4.9832e-10,292.976,9.31201e-18,0.0,1.89017,0.306396,19.976
0.343434,5.61526e-10,292.976,1.03708e-17,0.0,1.90776,0.303245,19.976
0.318182,6.30602e-10,292.975,1.15142e-17,0.0,1.92221,0.300163,19.975000000000023
0.292929,7.05977e-10,292.974,1.2746e-17,0.0,1.93353,0.297155,19.97399999999999
0.267677,7.88224e-10,292.974,1.40722e-17,0.0,1.94175,0.294225,19.97399999999999
0.242424,8.7799e-10,292.973,1.54993e-17,0.0,1.94689,0.291376,19.973000000000013
0.217172,9.78482e-10,292.972,1.70775e-17,0.0,1.94897,0.288608,19.97199999999998
0.191919,1.09073e-09,292.972,1.88167e-17,0.0,1.94802,0.285922,19.97199999999998
0.166667,1.21198e-09,292.971,2.06604e-17,0.0,1.94408,0.283316,19.971000000000004
0.141414,1.35069e-09,292.97,2.27424e-17,0.0,1.9372,0.280784,19.970000000000027
0.116162,1.50459e-09,292.97,2.50112e-17,0.0,1.92741,0.278322,19.970000000000027
0.0909091,1.6738e-09,292.969,2.74544e-17,0.0,1.91481,0.275918,19.968999999999994
0.0656566,1.86765e-09,292.968,3.02089e-17,0.0,1.8995,0.273558,19.968000000000018
0.040404,2.09776e-09,292.968,3.34394e-17,0.0,1.88154,0.27124,19.968000000000018
0.0151515,2.38884e-09,292.967,3.75031e-17,0.0,1.86008,0.269125,19.966999999999985
-0.010101,2.68073e-09,292.967,4.14582e-17,0.0,1.8343,0.267327,19.966999999999985
-0.0353535,2.97476e-09,292.966,4.53968e-17,0.0,1.80543,0.265657,19.966000000000008
-0.0606061,3.28958e-09,292.966,4.94601e-17,0.0,1.77508,0.26425,19.966000000000008
-0.0858586,3.58612e-09,292.965,5.31328e-17,0.0,1.74348,0.262628,19.964999999999975
-0.111111,3.97167e-09,292.965,5.7638e-17,0.0,1.70624,0.260607,19.964999999999975
-0.136364,4.33202e-09,292.964,6.17808e-17,0.0,1.66376,0.258692,19.964
-0.161616,4.73199e-09,292.964,6.63772e-17,0.0,1.62035,0.256934,19.964
-0.186869,5.18088e-09,292.963,7.15335e-17,0.0,1.57578,0.255371,19.963000000000022
-0.212121,5.48465e-09,292.963,7.45442e-17,0.0,1.52907,0.253746,19.963000000000022
-0.237374,5.57413e-09,292.962,7.46417e-17,0.0,1.47753,0.251951,19.96199999999999
-0.262626,5.66361e-09,292.962,7.47392e-17,0.0,1.42599,0.250155,19.96199999999999
-0.287879,5.77232e-09,292.961,7.50902e-17,0.0,1.37433,0.248378,19.961000000000013
-0.313131,5.90414e-09,292.961,7.53274e-17,0.0,1.31388,0.246509,19.961000000000013
-0.338384,5.57588e-09,292.96,7.00539e-17,0.0,1.24627,0.244222,19.95999999999998
-0.363636,5.24763e-09,292.959,6.47803e-17,0.0,1.17867,0.241935,19.959000000000003
-0.388889,4.91937e-09,292.958,5.95067e-17,0.0,1.11107,0.239647,19.958000000000027
-0.414141,4.42579e-09,292.957,5.20411e-17,0.0,1.03672,0.237074,19.956999999999994
-0.439394,4.07534e-09,292.957,4.72563e-17,0.0,0.955826,0.234199,19.956999999999994
-0.464646,3.72489e-09,292.956,4.24716e-17,0.0,0.874934,0.231324,19.956000000000017
-0.489899,3.37444e-09,292.955,3.76868e-17,0.0,0.794041,0.22845,19.954999999999984
-0.515152,2.8876e-09,292.954,3.13141e-17,0.0,0.706781,0.225631,19.954000000000008
-0.540404,2.59941e-09,292.954,2.78313e-17,0.0,0.613837,0.222537,19.954000000000008
-0.565657,2.31123e-09,292.953,2.43485e-17,0.0,0.520894,0.219444,19.952999999999975
-0.590909,2.02304e-09,292.952,2.08657e-17,0.0,0.42795,0.21635,19.951999999999998
-0.616162,1.63876e-09,292.952,1.64105e-17,0.0,0.325922,0.213415,19.951999999999998
-0.641414,1.43156e-09,292.951,1.42071e-17,0.0,0.216368,0.210296,19.951000000000022
-0.666667,1.22436e-09,292.951,1.20036e-17,0.0,0.106815,0.207176,19.951000000000022
-0.691919,1.01716e-09,292.95,9.80017e-18,0.0,-0.00273855,0.204056,19.94999999999999
-0.717172,7.59537e-10,292.95,7.15397e-18,0.0,-0.113906,0.200391,19.94999999999999
-0.742424,6.40852e-10,292.95,6.0338800000000004e-18,0.0,-0.226754,0.196183,19.94999999999999
-0.767677,5.22167e-10,292.95,4.91379e-18,0.0,-0.339601,0.191975,19.94999999999999
-0.792929,4.03482e-10,292.95,3.7937100000000006e-18,0.0,-0.452449,0.187767,19.94999999999999
-0.818182,2.7319e-10,292.95,2.58123e-18,0.0,-0.554693,0.183458,19.94999999999999
-0.843434,2.30681e-10,292.951,2.20238e-18,0.0,-0.650638,0.178921,19.951000000000022
-0.868687,1.88173e-10,292.952,1.82354e-18,0.0,-0.746583,0.174383,19.951999999999998
-0.893939,1.45665e-10,292.952,1.4447e-18,0.0,-0.842528,0.169845,19.951999999999998
-0.919192,1.01081e-10,292.953,1.0440700000000001e-18,0.0,-0.924717,0.166482,19.952999999999975
-0.944444,8.65036e-11,292.954,9.07769e-19,0.0,-0.999123,0.16356,19.954000000000008
-0.969697,7.19258e-11,292.955,7.71466e-19,0.0,-1.07353,0.160639,19.954999999999984
-0.994949,5.73479e-11,292.955,6.35162e-19,0.0,-1.14794,0.157717,19.954999999999984
-1.0202,4.23692e-11,292.956,4.91748e-19,0.0,-1.19876,0.156798,19.956000000000017
-1.04545,3.67638e-11,292.957,4.33925e-19,0.0,-1.23644,0.156939,19.956999999999994
-1.07071,3.11585e-11,292.958,3.76101e-19,0.0,-1.27412,0.15708,19.958000000000027
-1.09596,2.55531e-11,292.959,3.18277e-19,0.0,-1.31181,0.157221,19.959000000000003
-1.12121,1.98979e-11,292.96,2.57604e-19,0.0,-1.31781,0.160136,19.95999999999998
-1.14646,1.74314e-11,292.96,2.28367e-19,0.0,-1.30702,0.164705,19.95999999999998
-1.17172,1.49649e-11,292.961,1.99129e-19,0.0,-1.29624,0.169274,19.961000000000013
-1.19697,1.24984e-11,292.962,1.6989200000000001e-19,0.0,-1.28545,0.173843,19.96199999999999
-1.22222,1.00592e-11,292.963,1.39145e-19,0.0,-1.24005,0.181135,19.963000000000022
-1.24747,8.82689e-12,292.964,1.21779e-19,0.0,-1.1776,0.190048,19.964
-1.27273,7.59455e-12,292.965,1.04413e-19,0.0,-1.11516,0.198961,19.964999999999975
-1.29798,6.36221e-12,292.966,8.704709999999999e-20,0.0,-1.05271,0.207874,19.966000000000008
-1.32323,4.96897e-12,292.968,6.53461e-20,0.0,-0.957304,0.218545,19.968000000000018
-1.34848,4.34467e-12,292.969,5.43169e-20,0.0,-0.850513,0.230229,19.968999999999994
-1.37374,3.72037e-12,292.97,4.3287699999999995e-20,0.0,-0.743723,0.241914,19.970000000000027
-1.39899,3.09606e-12,292.971,3.22584e-20,0.0,-0.636932,0.253599,19.971000000000004
-1.42424,2.54558e-12,292.973,2.2758e-20,0.0,-0.504392,0.268008,19.973000000000013
-1.44949,2.05254e-12,292.975,1.43865e-20,0.0,-0.359849,0.283574,19.975000000000023
-1.47475,1.73269e-12,292.977,9.20224e-21,0.0,-0.223714,0.230059,19.976999999999975
-1.5,1.44082e-12,292.978,4.55279e-21,0.0,-0.0898244,0.155891,19.97800000000001
