y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9083700.0,1214.68,0.122674,0.0,0.0261913,0.416921,941.6800000000001
0.974747,349156.0,370.22,0.00145235,0.0,0.214527,0.59336,97.22000000000003
0.949495,5583.38,313.553,4.2939e-05,0.0,0.412389,0.512093,40.553
0.924242,392.284,310.715,4.1957e-06,0.0,0.569124,0.45993,37.714999999999975
0.89899,46.2724,310.473,6.2277e-07,0.0,0.696051,0.423866,37.47300000000001
0.873737,7.09269,310.495,1.12454e-07,0.0,0.804312,0.40051,37.495000000000005
0.848485,1.27669,310.545,2.26407e-08,0.0,0.90031,0.385771,37.545000000000016
0.823232,0.254655,310.595,4.87811e-09,0.0,0.987657,0.376345,37.59500000000003
0.79798,0.0533115,310.642,1.07849e-09,0.0,1.06845,0.369979,37.641999999999996
0.772727,0.0110374,310.686,2.32361e-10,0.0,1.14395,0.365274,37.68599999999998
0.747475,0.00229595,310.728,4.97554e-11,0.0,1.21491,0.361411,37.72800000000001
0.722222,0.000478688,310.767,1.05866e-11,0.0,1.28182,0.357931,37.766999999999996
0.69697,0.000100121,310.804,2.24328e-12,4.91552e-34,1.34498,0.354589,37.803999999999974
0.671717,1.98204e-05,310.84,4.4709e-13,0.0,1.4046,0.351259,37.839999999999975
0.646465,3.84314e-06,310.874,8.68047e-14,0.0,1.46082,0.347882,37.874000000000024
0.621212,7.61071e-07,310.907,1.71331e-14,0.0,1.51372,0.344437,37.90699999999998
0.59596,1.68962e-07,310.939,3.77607e-15,0.0,1.56335,0.340925,37.93900000000002
0.570707,5.27117e-08,310.969,1.16567e-15,0.0,1.60975,0.337354,37.968999999999994
0.545455,2.67597e-08,310.998,5.84275e-16,0.0,1.65295,0.333738,37.99799999999999
0.520202,1.96967e-08,311.027,4.2418e-16,0.0,1.69295,0.330095,38.02699999999999
0.494949,1.69001e-08,311.054,3.58876e-16,0.0,1.72977,0.326443,38.053999999999974
0.469697,1.52513e-08,311.081,3.19365e-16,0.0,1.76342,0.322797,38.08100000000002
0.444444,1.40427e-08,311.107,2.90076e-16,0.0,1.7939,0.319173,38.10700000000003
0.419192,1.3059e-08,311.132,2.66235e-16,7.78059e-36,1.82123,0.315584,38.132000000000005
0.393939,1.23745e-08,311.157,2.49128e-16,0.0,1.8454,0.312042,38.15699999999998
0.368687,1.18424e-08,311.181,2.35557e-16,0.0,1.86644,0.30856,38.18099999999998
0.343434,1.14076e-08,311.204,2.24281e-16,0.0,1.88434,0.305146,38.20400000000001
0.318182,1.10481e-08,311.227,2.14762e-16,0.0,1.89913,0.301808,38.226999999999975
0.292929,1.07483e-08,311.249,2.06614e-16,0.0,1.91082,0.298553,38.249000000000024
0.267677,1.04954e-08,311.272,1.99525e-16,0.0,1.91943,0.295386,38.27199999999999
0.242424,1.02816e-08,311.293,1.93295e-16,0.0,1.92498,0.292309,38.293000000000006
0.217172,1.00714e-08,311.315,1.87222e-16,0.0,1.92749,0.289326,38.315
0.191919,9.86871e-09,311.336,1.81358e-16,0.0,1.927,0.286436,38.33600000000001
0.166667,9.71381e-09,311.357,1.76416e-16,0.0,1.92354,0.283637,38.35700000000003
0.141414,9.54615e-09,311.377,1.7127e-16,0.0,1.91715,0.280926,38.37700000000001
0.116162,9.40305e-09,311.398,1.66573e-16,0.0,1.90788,0.278297,38.398000000000025
0.0909091,9.31826e-09,311.419,1.62899e-16,0.0,1.89581,0.275738,38.41899999999998
0.0656566,9.267e-09,311.44,1.59774e-16,0.0,1.88106,0.273236,38.44
0.040404,9.2545e-09,311.462,1.57267e-16,0.0,1.86369,0.270789,38.46199999999999
0.0151515,9.30713e-09,311.488,1.55791e-16,0.0,1.84295,0.268571,38.488
-0.010101,9.40758e-09,311.505,1.55265e-16,0.0,1.81794,0.266715,38.504999999999995
-0.0353535,9.55572e-09,311.526,1.55567e-16,0.0,1.78995,0.26499,38.52600000000001
-0.0606061,9.71427e-09,311.546,1.55937e-16,0.0,1.76045,0.263552,38.54599999999999
-0.0858586,9.84378e-09,311.566,1.55734e-16,0.0,1.72964,0.261886,38.565999999999974
-0.111111,9.9741e-09,311.579,1.55027e-16,0.0,1.69318,0.259829,38.57900000000001
-0.136364,1.00986e-08,311.6,1.54162e-16,0.0,1.65159,0.257843,38.60000000000002
-0.161616,1.02646e-08,311.62,1.54027e-16,0.0,1.60908,0.256036,38.620000000000005
-0.186869,1.0482e-08,311.639,1.54793e-16,0.0,1.56545,0.254452,38.63900000000001
-0.212121,1.05375e-08,311.657,1.53245e-16,0.0,1.51972,0.2528,38.65699999999998
-0.237374,1.04083e-08,311.673,1.49151e-16,0.0,1.46928,0.250954,38.673
-0.262626,1.02791e-08,311.69,1.45056e-16,0.0,1.41885,0.249108,38.69
-0.287879,1.01577e-08,311.706,1.41064e-16,0.0,1.3683,0.247284,38.70600000000002
-0.313131,9.90545e-09,311.719,1.35056e-16,0.0,1.30908,0.245407,38.718999999999994
-0.338384,9.40401e-09,311.734,1.26019e-16,0.0,1.24292,0.242949,38.73399999999998
-0.363636,8.90257e-09,311.749,1.16983e-16,0.0,1.17676,0.240492,38.749000000000024
-0.388889,8.40113e-09,311.764,1.07946e-16,0.0,1.11061,0.238034,38.76400000000001
