y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9169950.0,1198.0,0.120784,0.0,0.0268606,0.427592,925.0
0.974747,351733.0,351.108,0.00140308,0.0,0.2122,0.598652,78.108
0.949495,5520.9,296.15,4.02103e-05,0.0,0.409027,0.517023,23.149999999999977
0.924242,341.206,293.336,3.4501e-06,0.0,0.565011,0.465501,20.336000000000013
0.89899,32.3179,293.029,4.10607e-07,0.0,0.691391,0.429973,20.028999999999996
0.873737,3.73303,292.988,5.58604e-08,0.0,0.799226,0.407005,19.988
0.848485,0.489155,292.982,8.18916e-09,0.0,0.894864,0.39253,19.982000000000028
0.823232,0.0692364,292.981,1.25232e-09,0.0,0.981897,0.38327,19.980999999999995
0.79798,0.0101689,292.981,1.94287e-10,0.0,1.06242,0.376998,19.980999999999995
0.772727,0.00146953,292.981,2.92182e-11,0.0,1.13767,0.372331,19.980999999999995
0.747475,0.000206362,292.981,4.2236e-12,0.0,1.20841,0.368464,19.980999999999995
0.722222,2.78143e-05,292.981,5.80972e-13,0.0,1.27514,0.364948,19.980999999999995
0.69697,3.58823e-06,292.981,7.59379e-14,4.856410000000001e-34,1.33814,0.361542,19.980999999999995
0.671717,4.3379e-07,292.981,9.24338e-15,0.0,1.39764,0.358127,19.980999999999995
0.646465,4.91663e-08,292.981,1.04917e-15,0.0,1.45375,0.354647,19.980999999999995
0.621212,5.32595e-09,292.98,1.13291e-16,0.0,1.50656,0.351086,19.980000000000018
0.59596,6.02789e-10,292.98,1.27304e-17,0.0,1.55613,0.347445,19.980000000000018
0.570707,1.2882e-10,292.98,2.6898700000000002e-18,0.0,1.60249,0.343737,19.980000000000018
0.545455,9.3899e-11,292.98,1.93453e-18,0.0,1.64565,0.339977,19.980000000000018
0.520202,1.039e-10,292.98,2.1113800000000003e-18,0.0,1.68564,0.336185,19.980000000000018
0.494949,1.19914e-10,292.98,2.40278e-18,0.0,1.72246,0.33238,19.980000000000018
0.469697,1.3824e-10,292.98,2.7313900000000002e-18,0.0,1.75611,0.328579,19.980000000000018
0.444444,1.58964e-10,292.98,3.0980800000000002e-18,0.0,1.78661,0.324799,19.980000000000018
0.419192,1.82474e-10,292.98,3.50963e-18,7.43624e-36,1.81396,0.321055,19.980000000000018
0.393939,2.07618e-10,292.98,3.94299e-18,0.0,1.83817,0.31736,19.980000000000018
0.368687,2.35075e-10,292.98,4.4104400000000005e-18,0.0,1.85924,0.313726,19.980000000000018
0.343434,2.65202e-10,292.98,4.91753e-18,0.0,1.87719,0.310165,19.980000000000018
0.318182,2.98116e-10,292.98,5.464850000000001e-18,0.0,1.89203,0.306684,19.980000000000018
0.292929,3.34013e-10,292.98,6.054160000000001e-18,0.0,1.90378,0.303291,19.980000000000018
0.267677,3.73156e-10,292.98,6.688150000000001e-18,0.0,1.91245,0.299991,19.980000000000018
0.242424,4.15838e-10,292.98,7.36963e-18,0.0,1.91807,0.296789,19.980000000000018
0.217172,4.63537e-10,292.98,8.12178e-18,0.0,1.92066,0.293685,19.980000000000018
0.191919,5.16753e-10,292.98,8.9495e-18,0.0,1.92025,0.290682,19.980000000000018
0.166667,5.7417e-10,292.98,9.825760000000002e-18,0.0,1.91687,0.287777,19.980000000000018
0.141414,6.39676e-10,292.98,1.08122e-17,0.0,1.91057,0.284966,19.980000000000018
0.116162,7.1226e-10,292.98,1.18854e-17,0.0,1.90141,0.282244,19.980000000000018
0.0909091,7.91912e-10,292.98,1.30384e-17,0.0,1.88945,0.279597,19.980000000000018
0.0656566,8.82941e-10,292.98,1.43347e-17,0.0,1.87481,0.277009,19.980000000000018
0.040404,9.90781e-10,292.98,1.58514e-17,0.0,1.85757,0.274477,19.980000000000018
0.0151515,1.1272e-09,292.98,1.77596e-17,0.0,1.83699,0.272177,19.980000000000018
-0.010101,1.26512e-09,292.98,1.96317e-17,0.0,1.81221,0.270283,19.980000000000018
-0.0353535,1.40295e-09,292.98,2.14811e-17,0.0,1.78448,0.268533,19.980000000000018
-0.0606061,1.55038e-09,292.98,2.33861e-17,0.0,1.75522,0.267086,19.980000000000018
-0.0858586,1.68846e-09,292.98,2.50976e-17,0.0,1.72465,0.265419,19.980000000000018
-0.111111,1.87051e-09,292.98,2.72248e-17,0.0,1.68841,0.263371,19.980000000000018
-0.136364,2.03667e-09,292.98,2.9134e-17,0.0,1.64706,0.261377,19.980000000000018
-0.161616,2.22151e-09,292.98,3.12595e-17,0.0,1.60481,0.259575,19.980000000000018
